"date","temp"
2013-07-24,18.8644352768902
2013-07-25,19.8204488994334
2013-07-26,20.2857775305782
2013-07-27,20.9552018479184
2013-07-28,22.2454438729894
2013-07-29,22.9505299401295
2013-07-30,21.9855986737176
2013-07-31,21.2585559515943
2013-08-01,22.0413013244608
2013-08-02,21.4523138665305
2013-08-03,18.8619748514372
2013-08-04,20.4397495952009
2013-08-05,22.0809558612187
2013-08-06,23.0492617611713
2013-08-07,23.5920070339995
2013-08-08,24.6049785965028
2013-08-09,24.6746550948307
2013-08-10,24.564041983716
2013-08-11,23.6149719406866
2013-08-12,23.8866098574222
2013-08-13,24.9668003137697
2013-08-14,23.7102348526696
2013-08-15,22.1986527841222
2013-08-16,21.3900414574195
2013-08-17,21.4673867529201
2013-08-18,21.9922498428661
2013-08-19,22.2859900390646
2013-08-20,22.1952179636143
2013-08-21,21.7389955114606
2013-08-22,21.553801309792
2013-08-23,21.551338583517
2013-08-24,20.3839718661239
2013-08-25,18.7740203886636
2013-08-26,17.6267681490361
2013-08-27,17.6061927844172
2013-08-28,18.9258731662274
2013-08-29,18.0223397029247
2013-08-30,17.8420593396018
2013-08-31,17.3198974823978
2013-09-01,17.6278041659579
2013-09-02,16.8067623181001
2013-09-03,15.2357784622215
2013-09-04,14.2589347834885
2013-09-05,13.3058161986752
2013-09-06,11.7571624685688
2013-09-07,13.846666235239
2013-09-08,14.5281703336194
2013-09-09,15.7630763706298
2013-09-10,16.1809126189532
2013-09-11,17.0612071845265
2013-09-12,17.1672736578868
2013-09-13,16.1040682388531
2013-09-14,15.0146091608206
2013-09-15,14.2652676504222
2013-09-16,15.044533400789
2013-09-17,16.3440348629028
2013-09-18,15.1349266697019
2013-09-19,12.8922854284682
2013-09-20,12.4248032520968
2013-09-21,12.6885684728191
2013-09-22,12.8381856134531
2013-09-23,11.6244881608655
2013-09-24,10.737614594959
2013-09-25,9.24359256536271
2013-09-26,9.74119408262578
2013-09-27,7.70758991927593
2013-09-28,7.00086297589839
2013-09-29,6.68883062202658
2013-09-30,6.51428296030872
2013-10-01,5.54673512830554
2013-10-02,4.49104296965464
2013-10-03,2.91630515766745
2013-10-04,2.67183814292683
2013-10-05,3.53998497562901
2013-10-06,5.08337279872111
2013-10-07,7.28132672508383
2013-10-08,8.94357379453145
2013-10-09,9.83702267826479
2013-10-10,9.80216634790371
2013-10-11,11.097515893658
2013-10-12,11.1804525316034
2013-10-13,10.8788400572162
2013-10-14,11.3073446786888
2013-10-15,11.644810742639
2013-10-16,11.239823746215
2013-10-17,10.5963121866795
2013-10-18,9.99159306845384
2013-10-19,5.96080316702839
2013-10-20,5.6385167359211
2013-10-21,9.55585730542561
2013-10-22,9.71543566855075
2013-10-23,6.87983469744045
2013-10-24,7.86776521321701
2013-10-25,9.16307319506497
2013-10-26,9.7161221068226
2013-10-27,11.3737520528656
2013-10-28,11.8306121412198
2013-10-29,12.9767004281867
2013-10-30,11.6232141622832
2013-10-31,7.78787641490388
2013-11-01,7.17590446679514
2013-11-02,8.59639936734753
2013-11-03,10.2497150966277
2013-11-04,9.88700049370083
2013-11-05,11.6627815365712
2013-11-06,10.4795281183286
2013-11-07,7.33166109670077
2013-11-08,8.32112022282879
2013-11-09,8.89695978428387
2013-11-10,7.74869711957874
2013-11-11,6.78294847968013
2013-11-12,5.70829296286946
2013-11-13,5.08646981520667
2013-11-14,3.10100888179803
2013-11-15,1.81117939321205
2013-11-16,1.81617436245328
2013-11-17,3.03948227227726
2013-11-18,2.27684257711544
2013-11-19,2.06275518538369
2013-11-20,3.94815190501302
2013-11-21,5.7913250906659
2013-11-22,5.79138570814254
2013-11-23,5.2605866492544
2013-11-24,4.81638586339348
2013-11-25,4.52641355112841
2013-11-26,0.452201477062098
2013-11-27,-2.17962791032163
2013-11-28,-0.774368296807453
2013-11-29,0.636210816874856
2013-11-30,0.173943579683232
2013-12-01,0.605152293160175
2013-12-02,-0.348658819175241
2013-12-03,-3.0056749953623
2013-12-04,-1.58432408671036
2013-12-05,-0.54564511980098
2013-12-06,-0.37815952611309
2013-12-07,-0.761699358783338
2013-12-08,-2.13070457352755
2013-12-09,-2.25664812129863
2013-12-10,-7.15411318611724
2013-12-11,-7.22281363121239
2013-12-12,-4.44779273978749
2013-12-13,-2.79671095617219
2013-12-14,-3.21073163398071
2013-12-15,-5.0276460751221
2013-12-16,-3.6136362693505
2013-12-17,-2.45413320255462
2013-12-18,-2.24095718551111
2013-12-19,-2.82749405653898
2013-12-20,-2.35590530185706
2013-12-21,-0.867421092297036
2013-12-22,-1.19551726820635
2013-12-23,0.156677726697729
2013-12-24,0.357332615661027
2013-12-25,0.365926139301616
2013-12-26,-0.0170457052087663
2013-12-27,0.0150543795574887
2013-12-28,0.213112714904585
2013-12-29,-0.701842459465315
2013-12-30,-1.1951188994288
2013-12-31,-1.57101972639308
2014-01-01,-1.84784844008537
2014-01-02,-1.43207323979666
2014-01-03,-1.12855564207209
2014-01-04,-0.20391980980626
2014-01-05,0.721546759706487
2014-01-06,1.31786692274642
2014-01-07,0.947341299400047
2014-01-08,1.13832744454901
2014-01-09,2.03504408181849
2014-01-10,1.89076338082526
2014-01-11,1.76776640205244
2014-01-12,1.09484638259491
2014-01-13,-0.965972296706696
2014-01-14,-2.96385115959476
