"year","month","day","load"
2013,1,17,27190
2013,1,17,26820
2013,1,17,26451
2013,1,17,25774
2013,1,17,24830
2013,1,17,23267
2013,1,18,22053
2013,1,18,20905
2013,1,18,20224
2013,1,18,20071
2013,1,18,20005
2013,1,18,20402
2013,1,18,21301
2013,1,18,22876
2013,1,18,23945
2013,1,18,25095
2013,1,18,25356
2013,1,18,25599
2013,1,18,25345
2013,1,18,25455
2013,1,18,25491
2013,1,18,25649
2013,1,18,26024
2013,1,18,26840
2013,1,18,26920
2013,1,18,26361
2013,1,18,25935
2013,1,18,25482
2013,1,18,24623
2013,1,18,23047
2013,1,19,22119
2013,1,19,21024
2013,1,19,20292
2013,1,19,20155
2013,1,19,19831
2013,1,19,20173
2013,1,19,20523
2013,1,19,20838
2013,1,19,20953
2013,1,19,22221
2013,1,19,22673
2013,1,19,23156
2013,1,19,23198
2013,1,19,22909
2013,1,19,22996
2013,1,19,22920
2013,1,19,23420
2013,1,19,24820
2013,1,19,25077
2013,1,19,24862
2013,1,19,24287
2013,1,19,23841
2013,1,19,23505
2013,1,19,22412
2013,1,20,21195
2013,1,20,20426
2013,1,20,19655
2013,1,20,19434
2013,1,20,19283
2013,1,20,19378
2013,1,20,19779
2013,1,20,19885
2013,1,20,20086
2013,1,20,21337
2013,1,20,22126
2013,1,20,22910
2013,1,20,23085
2013,1,20,22772
2013,1,20,22751
2013,1,20,22831
2013,1,20,23582
2013,1,20,24924
2013,1,20,25283
2013,1,20,25016
2013,1,20,24726
2013,1,20,24464
2013,1,20,23614
2013,1,20,22255
2013,1,21,21141
2013,1,21,20145
2013,1,21,19580
2013,1,21,19391
2013,1,21,19525
2013,1,21,19716
2013,1,21,20763
2013,1,21,22601
2013,1,21,23608
2013,1,21,24722
2013,1,21,25281
2013,1,21,25473
2013,1,21,25101
2013,1,21,24888
2013,1,21,24875
2013,1,21,25004
2013,1,21,25357
2013,1,21,26119
2013,1,21,26463
2013,1,21,26086
2013,1,21,25776
2013,1,21,25017
2013,1,21,24232
2013,1,21,22532
2013,1,22,21357
2013,1,22,20361
2013,1,22,19641
2013,1,22,19464
2013,1,22,19533
2013,1,22,19796
2013,1,22,20813
