"RMSE_k_fold","Rsquare_k_fold","MAE_k_fold","index"
338.357375417504,0.974640312991963,260.377206191673,340
417.698021376987,0.959845401278716,343.762333714418,341
328.789385830754,0.966851454392026,259.419412628693,342
360.917534269723,0.97710074746145,294.066686897325,343
565.688077625941,0.917311092601005,476.809716125867,344
330.796984842876,0.982007677922244,262.754911131542,345
357.766055445607,0.971896816634435,269.396093563769,346
361.884840258553,0.973023814018394,280.399926803194,347
329.696799391177,0.980622121350683,250.909796255514,348
362.935347216448,0.97614426428912,297.829938244032,349
330.747855385876,0.972228179841173,269.023398852998,350
348.560363116487,0.968487988832059,282.56989762864,351
358.25400516105,0.974412779563671,277.402125904974,352
422.340180628041,0.955005223341693,351.749117879615,353
358.959952583607,0.973196386259976,285.42688939001,354
354.20836417826,0.969780747762814,276.200558598456,355
332.002580876019,0.982853846514022,255.918801622841,356
446.016009361351,0.939969823583178,342.893406416947,357
329.148742001945,0.981847572502087,257.475607153137,358
410.435081857817,0.95351210694133,310.275534095725,359
461.929436805628,0.933833123082344,359.003283821224,360
362.616257482017,0.958822747524207,290.679653978309,361
359.983440453034,0.961543963252009,291.689693173606,362
351.465853887741,0.972307935609419,282.588558618672,363
458.654198962191,0.95170314789368,375.491270808031,364
391.086374859811,0.961557427899035,302.835162954687,365
377.130025129405,0.976274129031807,315.1322555803,366
359.393733990091,0.972209029891225,291.031039844338,367
541.574706998442,0.900683299975166,423.472981928446,368
367.976781642359,0.965583238812793,282.175703095413,369
376.112530861009,0.964584909676785,295.487697992387,370
326.582574608801,0.979889806961469,254.406660179536,371
372.263257398298,0.971181064173181,311.840393436003,372
336.563806914223,0.9821812967852,265.713483666922,373
382.29346766876,0.96173207869457,314.824665418567,374
356.197940733211,0.963659608623814,286.310258750381,375
363.786397523073,0.968380501756159,280.683485310971,376
341.57070787968,0.9772205435228,264.417665833958,377
334.184622006409,0.981277025320783,268.882568928024,378
368.010990549527,0.978716105020044,289.040001153908,379
480.980628727651,0.923551992583822,392.941486787899,380
378.670960017991,0.973400644796446,302.362139767694,381
486.792279387728,0.941295330202215,392.94983512467,382
355.042708024664,0.977610003086171,278.103206693307,383
396.154494088279,0.942828850825936,317.097820648573,384
354.395902770277,0.969580906277187,273.416324132672,385
337.025911639915,0.970846394534698,287.986971713986,386
417.713331452617,0.959847651315748,349.319432420662,387
424.592663632524,0.957357722536443,357.485527412444,388
391.421930314425,0.945929600155368,313.745018651817,389
362.704254409202,0.948345954762316,295.23842474981,390
360.26411970529,0.974982174354121,281.272824782447,391
395.495452351608,0.966470653611437,315.3179943867,392
308.133992086819,0.981303819480655,236.459538377734,393
354.54912830285,0.971451379423919,281.39605172275,394
390.488676262131,0.957176574362464,299.7679815514,395
380.201873101473,0.961837926743189,302.988879400958,396
374.366819717447,0.948204492285008,315.9429648053,397
345.243034750758,0.968262852415693,277.608677043926,398
375.60457265816,0.956031869012851,285.206907975855,399
421.450647766062,0.956864232422499,336.000787158187,400
318.994439472555,0.978870905914433,243.547207935109,401
386.080715817063,0.972999204824655,292.748330760541,402
341.766232892006,0.967398035879074,276.710693195038,403
464.44688225311,0.945275919079544,373.397173288295,404
382.317744152644,0.940242945718322,324.962337898588,405
336.832016244405,0.976930207891073,257.013299661311,406
377.664948336731,0.970330792455292,302.523523439946,407
465.952247103901,0.949051182768174,378.70544231173,408
356.781143190653,0.968097428738945,286.446824891485,409
389.458889683207,0.95860712448667,298.121256086359,410
385.876197150908,0.968103905072921,311.057415328293,411
401.366926389174,0.963401460724455,311.975505606077,412
439.431734160199,0.964867783367796,341.965064253121,413
392.503365684279,0.96787165824138,312.701697677453,414
346.121670454154,0.970160031467836,272.460541530739,415
424.892674835062,0.95851842553441,356.64527898328,416
447.407873927979,0.964498554851726,341.546848024011,417
344.669505511809,0.965849483512069,277.779854397423,418
398.508503120087,0.941408050620521,334.310116376201,419
599.764804404097,0.923272759744709,444.820159548842,420
338.995629625093,0.971236982250951,263.543621763318,421
362.152012756123,0.961869123743672,270.122483708405,422
344.838689143005,0.970231273963358,268.977084714132,423
359.436252579808,0.970638608055424,288.175130663097,424
409.560070208097,0.950074553293677,336.504569260773,425
384.629005952725,0.95491989166346,292.340346360106,426
307.208939783918,0.979065680063773,231.763344130462,427
382.058272365652,0.963404457151552,303.722312176348,428
349.605571656437,0.961694409305857,286.895333711295,429
364.500673919066,0.970823721042822,293.579498926515,430
367.433078973057,0.966869157606818,297.382593362446,431
494.247146728366,0.916830629227412,394.363605593146,432
334.561174408503,0.973813215183434,251.144414200479,433
360.284856513714,0.980046560882252,293.179867215337,434
348.849849452507,0.971144124917481,267.70252836008,435
344.015813546483,0.973402693349184,269.057559889329,436
353.509968535813,0.976738268034022,284.78076169326,437
344.884795103724,0.972417025523401,263.063147105453,438
390.530822661621,0.95526663279549,315.253308614062,439
408.03941210633,0.954277212188821,335.097140057063,440
398.827993434886,0.950236242693695,327.471052137177,441
364.100476261878,0.961733648707726,278.107321646856,442
495.16212085585,0.943426399958453,403.405018941717,443
523.516623171221,0.912732089554141,415.400905023754,444
358.873165595896,0.959742037281785,271.583291043643,445
408.03115537273,0.933693961668979,334.537363660185,446
354.09758469481,0.966843747856391,285.281349529973,447
534.787732639341,0.933872604577905,409.38272233399,448
313.609392070303,0.981734064865645,242.400540826951,449
348.515812773769,0.973591264683136,263.547733415061,450
511.030361431535,0.937100271902804,422.902913250585,451
421.175539657281,0.935045878610068,328.184550228893,452
410.868178809041,0.963234000785078,326.001989078778,453
340.832776792839,0.974112522579406,270.171846922643,454
359.566075373909,0.974142638897143,293.139871733508,455
570.560663076604,0.928137015315525,430.628950097846,456
350.700443794984,0.969096238651957,275.665627168567,457
327.224953714604,0.975543015278593,254.77743166303,458
718.109352300123,0.811553042016239,548.514958141944,459
313.78004352016,0.979867998927676,242.907052245116,460
367.768025397361,0.968463579238345,289.734528863691,461
441.973571853162,0.959398418366798,344.617219526635,462
326.287423935103,0.975837426025298,249.88260615754,463
523.414725309734,0.935268716677193,400.139572436599,464
335.662815417424,0.974167059422992,255.872707372002,465
413.44760738111,0.9441137494629,318.793402592306,466
405.57365585367,0.959448688152082,328.233689947718,467
335.17707219886,0.974217936444735,265.914984452572,468
398.118659881406,0.947072882705051,327.386714208043,469
326.155649894413,0.97879797565241,262.313859787844,470
336.312024367263,0.98550873260426,267.132911021523,471
343.921477126363,0.966079934574559,291.165643584178,472
403.557388574898,0.960936207887257,321.40842693112,473
358.116308194218,0.965404484471151,286.350482266066,474
410.992671073955,0.94580275786506,355.195465796292,475
335.083387102979,0.973331912584629,263.783569327815,476
490.118615011567,0.95394731636514,397.555384081447,477
356.341478503369,0.966745485021757,294.243082834407,478
323.981466080163,0.975980808911383,246.450692585972,479
587.611181158268,0.892947298196923,447.001042975777,480
333.995825077536,0.975523403516725,267.887058695555,481
438.716887099859,0.929414003295291,355.470254991026,482
405.943889340499,0.976430810777637,319.372872771442,483
390.094614393765,0.954248482952613,313.757455790442,484
494.833246802319,0.933670265496172,385.041485082897,485
383.838327315174,0.971845752440188,305.446508661331,486
