"AICC","sum_nine","sum_all","p","q"
31232.7763487567,0.617206885040896,1.06924618956852,1,19
31234.9042883319,0.623799212495726,1.06900822876865,2,19
31236.9487315871,0.623768211376728,1.06901224520423,3,19
31238.0910946504,0.617559530489873,1.06561163083294,4,19
31235.0864719424,0.618394821703651,1.06751587935311,5,19
31233.5055933628,0.631625204797879,1.0771452100783,6,19
31234.427214339,0.617021832089964,1.06583343900096,7,19
31225.2449917786,0.619490989801282,1.08248194132644,8,19
31232.60054072,0.619052867256371,1.06435472285959,9,19
31234.6213742212,0.616983145193919,1.06676123880197,1,20
31226.1278091396,0.61464047498948,1.07276928183413,2,20
31227.3115420575,0.611745548265131,1.06759927998912,3,20
31237.93538488,0.614139061303735,1.06877017811184,4,20
31234.3070600287,0.653334744169209,1.07375503095294,5,20
31240.5784873355,0.63649042184492,1.07579504004578,6,20
31230.3664044149,0.627584588138696,1.07320530441405,8,20
31237.6152943172,0.61005285224338,1.07179514612259,9,20
31236.5562564869,0.615833813802201,1.06643318819446,1,21
31226.8208891784,0.613176638253749,1.06787581700459,2,21
31237.2764225599,0.617502046292475,1.06841256264618,3,21
31238.8566973724,0.615830634164342,1.06438103708627,4,21
31239.3621691801,0.621970764892672,1.06725416900983,5,21
31234.3467696125,0.615771226144771,1.06588452821363,6,21
31240.2297499125,0.628912024899006,1.06581489986398,7,21
31232.3951953613,0.627174148334007,1.07185849040527,8,21
31237.5480353486,0.616547573256596,1.06759971960467,9,21
31238.5974824357,0.615512687061008,1.06623544292215,1,22
31228.4834286819,0.614989587617139,1.06925924660344,2,22
31239.1870282185,0.617534362673107,1.06646266625299,3,22
31240.6410152581,0.615183125460117,1.0651378242182,4,22
31241.2761014532,0.622614754638765,1.06772904637587,5,22
31237.2460110701,0.624838014258067,1.06263711514775,6,22
31235.8608493681,0.616444009082568,1.06635888095524,7,22
31234.0485675617,0.62730453087425,1.06750964664867,8,22
31237.5252059602,0.622215766520619,1.05776397257033,9,22
31238.190847524,0.619521498169637,1.06604265443754,1,23
31230.0901038411,0.612639871354454,1.06917550371553,2,23
31240.6567461933,0.615007594387998,1.06615786466415,3,23
31242.3553161144,0.614172545543259,1.06573030649372,4,23
31229.979810246,0.637763537864693,1.06550975495941,5,23
31225.7298675955,0.644964915843752,1.06477747402272,6,23
31236.7280757177,0.627939116468904,1.0687387647409,7,23
31236.1749558451,0.627332827432246,1.06624094677055,8,23
31232.8085390537,0.633426211017491,1.07766578707192,9,23
31239.4503502575,0.623173064498927,1.06503898169734,1,24
31231.6496933249,0.612667844273013,1.06833217695968,2,24
31242.7863136741,0.614605134507046,1.06563788390074,3,24
31244.4174535917,0.613974896861673,1.0656621779653,4,24
31234.3925712185,0.640120833891748,1.06770437490345,5,24
31221.5652097911,0.624556525838668,1.07301571757081,6,24
31233.2168656722,0.620160182257717,1.06588086529524,7,24
31232.2659872563,0.637677765188048,1.06636054474717,8,24
31241.763382546,0.622218094824132,1.06379770303715,1,25
31232.148768967,0.615701704821212,1.06808457700337,2,25
31234.1799559337,0.614338023429456,1.06854815860698,3,25
31245.0502899251,0.619052959058399,1.0636187422449,4,25
31236.331672079,0.639781607126442,1.06849343833146,5,25
31221.6633783677,0.625889241641698,1.06688695341817,6,25
31225.463531087,0.626496314531034,1.06630667567448,7,25
31231.4469846878,0.624672874129402,1.0710602061883,8,25
31229.2432236358,0.624032352126635,1.07377625510203,9,25
31240.5255771933,0.641512739643291,1.05952567803054,1,26
31234.1374966326,0.614961114008469,1.06855863695265,2,26
31244.5550596175,0.622226962815237,1.06467049740952,3,26
31247.2773714407,0.618788218231393,1.06547043410228,4,26
31235.3655659059,0.637437865836673,1.06895899842833,5,26
31222.1203536118,0.624061096882176,1.06911173928817,6,26
31239.0137077912,0.636740927188549,1.07036069427737,7,26
31241.7479698537,0.631843950926784,1.06858300322211,8,26
31233.7260087634,0.628427911207627,1.07289059453746,9,26
31241.4410050742,0.644385383433406,1.0603173073655,1,27
31236.1580795723,0.615664393288279,1.06829101397767,2,27
31246.6088929711,0.621981133607224,1.06479907588049,3,27
31244.8000763722,0.63356365133696,1.06178836025769,4,27
31229.3976337585,0.617799383984566,1.07096384931227,5,27
31238.4389226884,0.634317581978361,1.06618064679722,6,27
31246.8088586305,0.608863060872643,1.06189377877784,7,27
31242.8600184937,0.629582919508022,1.06768946308109,8,27
31248.5716115159,0.625175409209424,1.06947348324023,9,27
